Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
289,4.72E-05,-3.07E-04,2.48E-03,8.53E+00
290,8.14E-04,-7.18E-04,-2.25E-03,1.77E+00
291,-7.48E-04,-1.17E-03,-2.07E-03,3.48E-01
292,-7.38E-04,-1.01E-03,-2.16E-03,4.18E-01
293,-5.93E-04,-1.07E-03,-2.18E-03,3.92E-01
294,2.65E-05,-9.03E-04,2.33E-03,9.28E+00
295,1.78E-04,-9.02E-04,2.32E-03,9.78E+00
296,1.19E-04,-7.59E-04,2.38E-03,9.43E+00
297,8.26E-04,-2.13E-03,-9.82E-04,1.17E+00
298,6.49E-04,-2.14E-03,-1.09E-03,1.24E+00
299,7.69E-04,-2.06E-03,-1.17E-03,1.24E+00
300,8.09E-04,2.34E-03,-4.44E-04,9.36E-01
301,9.83E-05,9.50E-04,-2.32E-03,3.29E+00
302,2.28E-04,1.09E-03,-2.25E-03,1.40E+00
303,8.29E-04,9.35E-04,-2.17E-03,1.93E+00
304,-4.01E-04,2.40E-03,6.41E-04,4.01E+00
305,-5.82E-04,2.38E-03,5.54E-04,4.76E+00
306,-3.21E-04,-2.50E-04,2.47E-03,3.83E+00
307,-6.44E-04,2.41E-03,3.66E-04,5.08E+00
308,-5.44E-04,2.45E-03,1.97E-04,4.79E+00
309,-7.39E-04,2.40E-03,1.91E-04,5.50E+00
310,-4.51E-04,2.44E-03,4.12E-04,4.36E+00
311,-1.10E-03,6.42E-04,-2.16E-03,6.22E-01
312,-4.46E-04,-9.86E-04,-2.25E-03,5.39E-01
313,-8.21E-05,-2.33E-03,8.82E-04,3.18E+00
314,-2.65E-04,-2.26E-03,1.00E-03,4.84E+00
315,-2.39E-04,-2.36E-03,7.52E-04,2.95E+00
316,-2.48E-03,-2.08E-05,3.62E-04,3.50E+00
317,-2.48E-03,-1.56E-04,2.90E-04,3.33E+00
318,-2.45E-03,-1.54E-04,4.62E-04,3.85E+00
319,-6.70E-04,2.43E-03,3.69E-06,4.77E+00
320,1.00E-03,-2.26E-03,-3.14E-04,7.97E-01
321,1.40E-03,-1.74E-03,-1.12E-03,1.11E+00
322,1.55E-03,-1.69E-03,-9.83E-04,1.04E+00
323,-8.29E-04,-9.05E-04,-2.17E-03,4.77E-01
324,2.23E-03,1.11E-03,3.32E-04,1.20E+00
325,2.28E-03,1.01E-03,2.50E-04,1.20E+00
326,-1.30E-04,-1.23E-03,-2.16E-03,1.10E+00
327,2.13E-03,1.21E-03,5.49E-04,1.34E+00
328,2.09E-03,1.22E-03,6.72E-04,1.45E+00
329,1.16E-04,2.63E-04,2.49E-03,8.56E+00
330,5.09E-04,-1.15E-03,-2.16E-03,2.04E+00
331,3.33E-04,-1.18E-03,-2.17E-03,1.88E+00
332,-1.03E-04,-2.05E-04,2.49E-03,6.69E+00
333,1.36E-03,1.98E-03,-7.30E-04,9.73E-01
334,1.32E-03,1.96E-03,-8.72E-04,1.04E+00
335,-2.50E-03,1.53E-04,-9.16E-05,2.32E+00
336,-2.49E-03,1.97E-04,1.18E-04,2.86E+00
337,1.26E-03,-2.09E-03,-5.10E-04,8.95E-01
338,-7.04E-05,-3.00E-05,2.50E-03,6.95E+00
339,2.02E-03,1.27E-03,7.82E-04,1.54E+00
340,1.87E-03,1.39E-03,9.32E-04,1.79E+00
341,1.98E-03,1.25E-03,9.03E-04,1.67E+00
342,1.34E-03,2.12E-03,-2.46E-04,7.55E-01
343,1.55E-03,-1.58E-03,-1.15E-03,1.08E+00
344,6.34E-04,2.33E-03,-6.91E-04,1.12E+00
345,1.64E-03,-1.72E-03,-7.44E-04,9.56E-01
346,1.39E-03,6.97E-04,1.97E-03,5.78E+00
347,1.38E-03,5.29E-04,2.03E-03,6.13E+00
348,1.52E-03,5.92E-04,1.90E-03,5.58E+00
349,1.59E-03,1.64E-03,-1.03E-03,1.03E+00
350,1.69E-03,1.57E-03,-9.94E-04,9.97E-01
351,1.58E-03,1.58E-03,-1.15E-03,1.05E+00
352,2.20E-03,1.18E-03,2.01E-04,1.03E+00
353,6.81E-05,-1.02E-03,2.28E-03,9.52E+00
354,6.51E-04,-2.23E-03,-8.84E-04,1.18E+00
355,5.81E-04,-2.07E-03,-1.25E-03,1.29E+00
356,4.79E-05,8.79E-04,2.35E-03,8.48E+00
357,2.26E-04,7.99E-04,2.37E-03,9.13E+00
358,2.26E-04,9.99E-04,2.29E-03,9.01E+00
359,1.72E-03,1.42E-03,-1.16E-03,1.02E+00
360,2.40E-03,-6.54E-04,-2.35E-04,1.17E+00
361,2.44E-03,-5.48E-04,-8.69E-05,1.44E+00
362,2.39E-03,-7.14E-04,-6.93E-05,1.22E+00
363,1.16E-03,1.99E-03,-9.94E-04,1.11E+00
364,1.79E-03,1.42E-03,-1.03E-03,9.74E-01
365,-5.12E-04,-2.43E-03,-1.22E-04,3.16E+00
366,-6.18E-04,-2.40E-03,-2.12E-04,3.35E+00
367,-6.01E-04,1.78E-04,2.42E-03,1.49E+00
368,1.62E-03,1.68E-03,-9.25E-04,9.95E-01
369,7.66E-04,2.32E-03,-5.90E-04,1.04E+00
370,1.53E-03,1.89E-03,-6.46E-04,9.23E-01
371,-2.44E-03,2.23E-04,5.25E-04,4.00E+00
372,-2.39E-03,2.64E-04,7.06E-04,4.70E+00
373,8.64E-04,-2.21E-03,-7.66E-04,1.08E+00
374,7.20E-04,-2.28E-03,-6.79E-04,1.08E+00
375,-2.47E-03,1.79E-04,3.36E-04,3.49E+00
376,1.64E-03,-1.56E-03,-1.05E-03,1.04E+00
377,-1.53E-03,-1.09E-03,1.65E-03,8.00E+00
378,-1.34E-03,-1.22E-03,1.72E-03,7.89E+00
379,-5.92E-04,-3.74E-05,2.43E-03,1.14E+00
380,2.42E-03,5.96E-04,-2.76E-04,1.04E+00
381,2.43E-03,6.08E-04,-7.64E-05,1.28E+00
382,2.47E-03,4.01E-04,-1.73E-04,1.37E+00
383,1.65E-03,-1.47E-03,-1.15E-03,1.06E+00
384,1.56E-03,1.92E-03,-4.50E-04,8.50E-01
385,9.52E-04,2.08E-03,-1.04E-03,1.17E+00
386,7.84E-04,2.14E-03,-1.06E-03,1.19E+00
